difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,165,165,165,165,165.0
2,330,330,330,330,330.0
3,494,494,494,494,494.0
4,634,634,634,634,597.0
5,767,767,766,767,597.0
6,900,900,884,900,737.0
7,1018,1018,1002,1018,808.0
8,1135,1135,1119,1135,940.0
9,1245,1245,1222,1245,1057.0
10,1354,1354,1317,1340,1175.0
11,1449,1449,1399,1398,1285.0
12,1538,1538,1470,1442,1389.0
13,1606,1606,1520,1470,1484.0
14,1665,1665,1564,1470,1526.0
15,1722,1722,1592,1470,1570.0
16,1759,1759,1592,1470,1620.0
17,1787,1787,1592,1470,1648.0
18,1808,1808,1592,1470,nan
19,1808,1808,1592,1470,nan
