difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,1260,1260,1260,1260,1260.0
2,2430,2430,2430,2430,2430.0
3,3600,3600,3600,3600,3600.0
4,4590,4590,4590,4590,4590.0
5,5580,5580,5580,5580,5580.0
6,6570,6570,6570,6480,5580.0
7,7470,7470,7470,7380,6480.0
8,8370,8370,8370,8280,6480.0
9,9270,9270,9270,9180,6480.0
10,10170,10170,10080,9810,7380.0
11,10800,10800,10710,10350,8280.0
12,11430,11430,11250,10530,8910.0
13,11970,11970,11430,10620,9450.0
14,12240,12240,11610,10620,9630.0
15,12330,12330,11700,10620,9630.0
16,12330,12330,11700,10620,8910.0
17,12150,12150,10710,10620,nan
18,11700,11700,10710,10620,nan
19,11610,11610,10710,10620,nan
20,10980,10980,10710,10620,nan
21,9990,9990,10710,10620,nan
22,8910,8910,10710,10620,nan
23,6930,6930,10710,10620,nan
