difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
1,165,165,165,165,165.0
2,330,330,330,330,330.0
3,494,494,470,494,440.0
4,644,644,603,644,545.0
5,784,784,730,784,648.0
6,911,911,855,909,781.0
7,1036,1036,980,1028,906.0
8,1145,1145,1098,1138,1033.0
9,1253,1253,1201,1247,1158.0
10,1359,1359,1296,1342,1260.0
11,1454,1454,1371,1413,1348.0
12,1541,1541,1437,1479,1414.0
13,1626,1626,1465,1539,1442.0
14,1692,1692,1465,1567,1470.0
15,1752,1752,1465,1567,1588.0
16,1804,1804,1465,1567,1600.0
17,1850,1850,1465,1567,nan
18,1830,1830,1465,1567,nan
